Etc,Expectations_for_fin_coach
I'm worried about saving for retirement.,Hold me accountable to my goals.
I want to buy a house in the next 5 years.,Educate me on financial topics.
I'm interested in learning more about investing.,Provide guidance on investments.
I'm worried about saving for retirement.,Provide guidance on investments.
I want to create a budget that works for me.,Help me create a financial plan.
I want to buy a house in the next 5 years.,"Help me make informed financial decisions., Hold me accountable to my goals."
I'm struggling to pay off my student loans.,"Hold me accountable to my goals., Help me make informed financial decisions."
I want to create a budget that works for me.,"Provide guidance on investments., Help me make informed financial decisions."
I'm struggling to pay off my student loans.,"Provide guidance on investments., Educate me on financial topics."
I'm worried about saving for retirement.,"Help me create a financial plan., Educate me on financial topics."
I want to buy a house in the next 5 years.,"Hold me accountable to my goals., Help me create a financial plan."
I want to create a budget that works for me.,Help me make informed financial decisions.
I'm interested in learning more about investing.,"Help me make informed financial decisions., Educate me on financial topics."
I want to create a budget that works for me.,Hold me accountable to my goals.
I'm interested in learning more about investing.,"Help me create a financial plan., Educate me on financial topics."
I'm struggling to pay off my student loans.,Provide guidance on investments.
I want to create a budget that works for me.,Help me create a financial plan.
I want to buy a house in the next 5 years.,"Educate me on financial topics., Hold me accountable to my goals."
I'm worried about saving for retirement.,"Provide guidance on investments., Hold me accountable to my goals."
I want to create a budget that works for me.,"Educate me on financial topics., Help me create a financial plan."
