Short-term goals,Long-term goals,Priorities
"vacation, debt payoff",retirement,"vacation, retirement, debt payoff"
"debt payoff, vacation","children's education, retirement","children's education, debt payoff, vacation"
debt payoff,retirement,debt payoff
"debt payoff, emergency fund","children's education, home ownership",emergency fund
"down payment, debt payoff",home ownership,"home ownership, debt payoff"
vacation,home ownership,"vacation, home ownership"
debt payoff,retirement,"retirement, debt payoff"
debt payoff,retirement,debt payoff
"debt payoff, emergency fund","retirement, children's education",emergency fund
emergency fund,"children's education, home ownership","emergency fund, children's education, home ownership"
emergency fund,"retirement, home ownership","emergency fund, home ownership, retirement"
down payment,"retirement, children's education","retirement, down payment, children's education"
"emergency fund, vacation","children's education, home ownership",vacation
emergency fund,retirement,"retirement, emergency fund"
vacation,"children's education, retirement","children's education, vacation"
emergency fund,"children's education, retirement",retirement
"debt payoff, down payment",children's education,"down payment, debt payoff"
down payment,children's education,"children's education, down payment"
debt payoff,"home ownership, children's education",debt payoff
vacation,retirement,vacation
